Date,BOVESPA OPEN,DJIA Open,NIKKEI225,ShanghaiComposite Open,Stoxx Europe 50,CAC40 Open,TelAvivOpen,IPCMexicoOpen,MervalAregentinaOpen,CanadaTSXOpen,ASXAustraliaOpen,DAXOpenGermany,RTSIRussianOpen,OMXCopenhagenOpen,KopsiKoreaOpen,TaiwanTWIIIndex,IBEXSpainIndex,ATX Austria,SwissMarketIndex
3/28/00,18952,11093.25,19704.6,1924.829956,5259.15,6313.049805,491.04,7944.069824,597.659973,9923.400391,3251.5,7803.689941,231.65,295.09,893.130005,9903.55957,12073.29981,1161,7398
3/29/00,18339,11023.67969,19958.08,1904.572998,5379.75,6344.790039,460.54,8094.870117,605.830017,10083.59961,3227.899902,7706.5,243.92,297.61,886.51001,9892.780273,12213.79981,1166.75,7412.399902
3/30/00,18053,10939.04981,20281.03,1889.904053,5369.11,6409.580078,481.35,8137.569824,608.710022,10063.29981,3230.199951,7932.709961,239.86,297.36,886.690002,9923.740234,12162,1169.550049,7420
3/31/00,17660,11008.16992,20374.34,1878.311035,5426.57,6427.680176,479.26,7947.209961,603.27002,10016.09961,3225.899902,7891.149902,229.88,299.8,905.590027,10252.08008,12204.79981,1168.530029,7358.299805
4/3/00,17826,10993.28027,20706.65,1889.875,5416.32,6496.450195,485.39,7883.450195,589.809998,9868.700195,3194.100098,7930.819824,232.45,294.38,872.02002,10069.51953,12001.40039,1161.469971,7387.399902
4/4/00,17253,10863.28027,20441.5,1915.496948,5251.97,6454.359863,493.15,7624.740234,582.880005,9480.099609,3133.300049,7834.560059,223.92,289.39,866.75,9979.230469,11833.40039,1160.040039,7375.700195
4/5/00,16762,11225.33984,20337.32,1888.20105,5249.55,6241.75,492.12,7459.75,576.679993,9535.099609,3133.800049,7649.879883,231.88,291.95,835.23999,10108.98047,11935,1146.310059,7388.799805
4/6/00,16719,11163.29004,20726.99,1912.07605,5118.37,6382.279785,479.43,7386.310059,569.039978,9520.700195,3197.199951,7599.779785,226.22,288.72,835.23999,10101.44043,11686.40039,1138.52002,7455.700195
4/7/00,17150,11029.55957,20594.93,1917.895996,5176.71,6138,480.7,7192.259766,566.460022,9323.099609,3176.5,7431.419922,228.17,285.51,827.22998,9655.429688,11584.2002,1121.040039,7568.799805
4/10/00,17519,11122.03027,20462.77,1944.248047,5044.17,6189.700195,502.54,7273.100098,557.669983,9075,3153.5,7502.089844,214.59,279.62,811.380005,9517.450195,11412.7002,1115.410034,7567.899902
4/11/00,16787,11114.88965,20223.61,1933.142944,5179.96,6148.740234,508.09,7467.919922,548.400024,9390.5,3158.300049,7345.009766,222.43,285.16,861.719971,8848.160156,11683.90039,1098.099976,7514.100098
4/12/00,16542,11180.98047,20252.81,1927.354004,5259.52,6342.200195,516.91,7547.810059,561.48999,9584.599609,3181.899902,7470.390137,221.27,284.36,864.650024,9292.740234,11790.59961,1099.98999,7481.5
4/13/00,16325,11283.04981,20619.06,1917.446045,5282.26,6393.700195,517.01,7371.819824,577.650024,9633,3198,7534.910156,229.14,277.99,841.159973,9435.019531,11722.2002,1102.630005,7475.200195
4/14/00,15501,11132.58008,20522.52,1902.072998,5174.38,6253.589844,526.24,7233.419922,567.409973,9259.700195,3171.300049,7513.120117,222.32,270.14,808.460022,9084.860352,11515.29981,1071.579956,7406
4/17/00,14761,10922.84961,20833.21,1911.704956,5179.28,6303.5,521.92,7017.120117,559.73999,9368.099609,3142.800049,7438.259766,224.92,276.95,762.960022,9167.150391,11542.09961,1083.380005,7493.200195
4/18/00,14817,10303.29004,20526.42,1925.213989,5181.33,6109.870117,519.18,6859.870117,553.880005,9003.700195,3096.699951,7421.060059,222.04,280.05,738.099976,9128.950195,11632,1091.01001,7517.600098
4/19/00,15438,10584.01953,20434.68,1913.161987,5034.25,6225.589844,517.32,6329.419922,540.650024,8783.5,3108.100098,7440.049805,220.67,267.31,767.27002,8702.959961,11267.40039,1093.630005,7539.200195
4/20/00,14938,10748.96973,19008.64,1952.956055,4979.66,5772.870117,501.83,6318.390137,508.630005,8456.400391,2953.199951,7201.660156,203.38,261.45,752.039978,8992.620117,11217.29981,1100.689941,7255.600098
4/24/00,15204,10668.19043,18969.52,1960.365967,5061.9,6163.910156,503.14,6680.620117,509.440002,8832.599609,3019,7186.180176,202.95,270.12,764.809998,8587.030273,11265.7002,1101.88,7379.399902
4/25/00,14798,10822.33008,19086.62,1957.378052,5078.69,6212.930176,520.16,6443.450195,517.049988,9071.099609,3070.800049,7204.330078,204.63,272.64,767.049988,8594.480469,11339.79981,1101.959961,7385.600098
4/26/00,15401,10916.65039,18959.32,1979.296021,5117.78,6172.779785,522.94,6448.290039,507.559998,9039.799805,3114.800049,7216.220215,208.73,272.64,738.559998,8836.830078,11460.59961,1097.819946,7333.399902
4/27/00,15446,11127.91992,18252.68,1968.171021,5158.13,6219.410156,533.36,6790.740234,505.640015,8834,3106.800049,7164.149902,213.29,272.64,751.890015,8505.459961,11447.59961,1103.109985,7385
4/28/00,15450,10941.91016,18480.15,1967.652954,5245.11,6393.77002,538.93,6747.939941,515.690002,8939,3115.800049,7293.100098,206.19,272.64,699.289978,8444.070312,11481.5,1130.57,7451.899902
5/2/00,15596,10892.75977,18272.33,1974.526978,5171.96,6403.189941,545.61,6849.25,511.049988,9306.299805,3116.100098,7386.609863,213.05,282.83,698.059998,8389.900391,11349.7002,1130.579956,7415.399902
5/3/00,15525,10749.41992,18134.31,1961.081055,5303.95,6378.149902,537.73,6641.970215,505.890015,9253.599609,3129.600098,7223.27002,221.17,292.48,731.76001,8669.469727,11569.2002,1126.859985,7426.700195
5/4/00,15111,10805.58008,18019.17,1981.765015,5434.81,6489.040039,537.31,6611.430176,509.940002,9421.900391,3104.399902,7407.529785,218,286.4,751.070007,8607.650391,11867.2002,1133.939941,7418.200195
